Source_DC,Destination_DC,SKU,PerUnitTransportationCost,TransitTimeDays
DC_1,DC_1,SKU_1,2.6684036567357747,1
DC_1,DC_1,SKU_2,3.2069924568492083,4
DC_1,DC_1,SKU_3,3.3447177463390583,5
DC_1,DC_1,SKU_4,3.0204126384952796,1
DC_1,DC_1,SKU_5,2.8123450889304547,9
DC_1,DC_1,SKU_6,1.2744015318286672,1
DC_1,DC_1,SKU_7,4.698161881563524,8
DC_1,DC_1,SKU_8,1.2156125168311758,7
DC_1,DC_1,SKU_9,2.5777226471590358,1
DC_1,DC_1,SKU_10,1.049137224448319,7
DC_1,DC_1,SKU_11,4.327122266423769,9
DC_1,DC_1,SKU_12,1.7333221520398596,9
DC_1,DC_1,SKU_13,1.3785827133042141,6
DC_1,DC_1,SKU_14,2.0102470442142923,4
DC_1,DC_1,SKU_15,1.207968260008227,1
DC_1,DC_1,SKU_16,3.655264377156169,7
DC_1,DC_1,SKU_17,2.9718939716604678,1
DC_1,DC_1,SKU_18,2.2123296944145254,4
DC_1,DC_1,SKU_19,4.0379254351747615,4
DC_1,DC_1,SKU_20,2.229597673358607,3
DC_1,DC_1,SKU_21,4.0197706839106075,3
DC_1,DC_1,SKU_22,0.5513809255433313,1
DC_1,DC_1,SKU_23,4.866156993767257,7
DC_1,DC_1,SKU_24,1.5573803224817875,3
DC_1,DC_1,SKU_25,3.677869323335114,1
DC_1,DC_1,SKU_26,4.851658738652658,3
DC_1,DC_1,SKU_27,2.4331817460922913,5
DC_1,DC_1,SKU_28,3.7330427629514755,6
DC_1,DC_1,SKU_29,1.0332156144578026,3
DC_1,DC_1,SKU_30,4.78610202509531,9
DC_1,DC_1,SKU_31,1.207729436808719,4
DC_1,DC_1,SKU_32,3.3126313373834257,2
DC_1,DC_1,SKU_33,4.421363153858844,3
DC_1,DC_1,SKU_34,2.756819576658802,8
DC_1,DC_1,SKU_35,1.6271055445662455,8
DC_1,DC_1,SKU_36,4.708836943453974,2
DC_1,DC_1,SKU_37,4.2477366955472196,3
DC_1,DC_1,SKU_38,3.3259702217184413,4
DC_1,DC_1,SKU_39,3.533089635764567,1
DC_1,DC_1,SKU_40,2.9698639928481017,5
DC_1,DC_1,SKU_41,1.8804946978496355,1
DC_1,DC_1,SKU_42,4.707474943274445,5
DC_1,DC_1,SKU_43,3.797145727656262,5
DC_1,DC_1,SKU_44,0.8075894013948137,1
DC_1,DC_1,SKU_45,1.785912460667177,9
DC_1,DC_1,SKU_46,3.5844974744985567,5
DC_1,DC_1,SKU_47,0.8244999181824584,7
DC_1,DC_1,SKU_48,4.750018622124365,4
DC_1,DC_1,SKU_49,3.5216561690024313,7
DC_1,DC_1,SKU_50,1.3954646253174656,3
DC_1,DC_2,SKU_1,4.033709651822068,8
DC_1,DC_2,SKU_2,4.9566280189926735,8
DC_1,DC_2,SKU_3,1.7434359880963413,9
DC_1,DC_2,SKU_4,4.9116593342398325,1
DC_1,DC_2,SKU_5,0.964046130836341,5
DC_1,DC_2,SKU_6,4.905308781684968,9
DC_1,DC_2,SKU_7,3.8204824317557278,4
DC_1,DC_2,SKU_8,2.4022788660226952,1
